OBJECTID,PIC,Facility_Name,Facility_Address,City,STATE,ZIP_Code,Operational_Designation,Source,Full_Address,Confidence,Low_Income,longitude,latitude
4211,7953,MING SHELL,3698 MING AVE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,YES,-119.04341415973556,35.33961562685986
4212,446,GOSFORD SHELL,4050 GOSFORD RD,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.09198912539766,35.318682773991
4213,437,HOWARDS # 776,3300 PLANZ RD,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.03905276527274,35.32499816413412
4214,442,Del Taco Mobil,3624 CALIFORNIA AVE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.04419982995802,35.36784345371258
4215,445,4010 ARCO /AMPM,4010 WIBLE RD,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.03892340589032,35.31973096621132
4216,411,FARRELL'S # 210,1915 N CHESTER AVE,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.02139135552648,35.423354312052
4217,444,FASTRIP FOOD STORES # 785,3701 MING AVE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,YES,-119.04354380330378,35.33936774402638
4218,440,WILSON MOBIL,3620 WILSON RD,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,YES,-119.04267425960926,35.33227593768455
4219,415,7-ELEVEN INC #26819,3124 N CHESTER,OILDALE,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.02117019245024,35.43471496722213
4220,447,CALIFORNIA CHEVRON,4100 CALIFORNIA AVE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.04788644240524,35.3675038580168
4221,458,S & H FUEL STOP,19400 TAFT HWY,BAKERSFIELD,CALIFORNIA,93311,Service Station or Gas Station,ARB,,,,-119.24766498035439,35.26741196009405
4222,438,YA HALLA INC,3300 WHITE LN,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.0395888214668,35.317830245469615
4223,448,MING ARCO AMPM,4203 MING AVE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,YES,-119.04981125328659,35.339420047697224
4224,457,FASTRIP FOOD STORES # 366/#367,8001 WHITE LN,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.09078127923244,35.31811291228128
4225,455,Ming/Ashe,6601 MING AVE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.07455954828436,35.33460525103166
4226,459,Brookside Oaks,8803 CAMINO MEDIA,BAKERSFIELD,CALIFORNIA,93311,Service Station or Gas Station,ARB,,,,-119.09959582778505,35.34282571283652
4227,452,STOCKDALE MOBIL #2,5401 STOCKDALE HWY,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.06137107051833,35.35407925515372
4228,9873,PRINCE PALACE CHEVRON,20238 HWY 119,BAKERSFIELD,CALIFORNIA,93311,Service Station or Gas Station,ARB,,,,-119.25018073575225,35.267421960555204
4229,13005,Sully's Ming,11400 MING AVE,BAKERSFIELD,CALIFORNIA,93311,Service Station or Gas Station,ARB,,,,-119.12959722742997,35.33996444060657
4230,13440,Sully's Olive,9709 OLIVE DR,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.11103521140576,35.412777056316344
4231,468,ROSEDALE CHEVRON,9700 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.11010742581692,35.383583557235596
4232,486,JR FOOD MART,9741 S ENOS LN,BAKERSFIELD,CALIFORNIA,93311,Service Station or Gas Station,ARB,,,,-119.25278353293356,35.26650986723678
4233,470,PEK,1999 TAFT HWY,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.02451345003557,35.26679798034268
4234,465,7-ELEVEN INC #32376,9600 BRIMHALL RD,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.10865896873628,35.368708524179304
4235,471,RIDDHI INC,2051 TAFT HWY,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.02526101148635,35.266802277303476
4236,464,7-ELEVEN INC #32241,4101 CALLOWAY DR,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.11009356636487,35.39692778588878
4237,472,EZ MART,2106 TAFT HWY,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.02614548662481,35.26690674345169
4238,453,FARRELL'S FASTRIP # 360,6401 WHITE LN,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,,-119.07340228268906,35.31806282004332
4239,12769,SAM'S FUEL #4819,5625 GOSFORD RD,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.09236342323324,35.304219482942926
4240,473,K & S Food Store,2126 TAFT HWY,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.02627674267738,35.26690504912892
4241,377,FREEWAY EXPRESS MART,1061 METTLER FRONTAGE RD W,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-118.97526630409651,35.07974072055799
4242,483,E-Z TRIP SHELL,29541 STOCKDALE HWY,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.33126669430236,35.35473774235317
4243,475,HOWARDS # 351,3200 PANAMA LN,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.037949793548,35.29601009089315
4244,12868,METTLER STATION,1841 METTLER FRONTAGE RD W,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-118.96999127038065,35.06307172078343
4245,474,"SAYEGH GROUP, INC.",2800 PANAMA LN,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.03388630850614,35.29601081664612
4246,480,7-ELEVEN INC #22647,12916 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93312,Service Station or Gas Station,ARB,,,,-119.14597947477279,35.38367838624869
4247,10366,METROS GAS,4600 STINE RD,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.05656009237426,35.31299147197902
4248,477,J&K FOODMART,3360 PANAMA LN,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.03987867655952,35.296016861888845
4249,469,BEAR MOUNTAIN TRAVEL STOP,15840 COSTAJO RD,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.01194128486225,35.212278148817695
4250,478,STINE CHEVRON,5609 STINE RD,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.05680175099987,35.304503549999005
4251,9040,SW BAKERSFIELD (LOC. NO. 643),4900 PANAMA LN,BAKERSFIELD,CALIFORNIA,93313,Hypermart,ARB,,,,-119.0571093461193,35.296009382227396
4252,7951,FLYERS #223,2023 METTLER FRONTAGE RD WEST,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-118.96909193034817,35.060356688210796
4253,482,RBI FOOD MART,22520 SIDDING RD,BAKERSFIELD,CALIFORNIA,93314,Service Station or Gas Station,ARB,,,,-119.25247516439717,35.38352900885694
4254,479,CIRCLE K STORE 2701270,5634 STINE RD,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.05666962440347,35.30418264761125
4255,463,STOCKDALE MOBILE,13001 STOCKDALE HWY,BAKERSFIELD,CALIFORNIA,93314,Service Station or Gas Station,ARB,,,,-119.14692936299954,35.35415141765395
4256,12849,PANAMA LANE SHELL,4815 PANAMA LN,BAKERSFIELD,CALIFORNIA,93313,Service Station or Gas Station,ARB,,,,-119.05577742049145,35.295759430953176
4257,481,Allen Chevron,13003 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93314,Service Station or Gas Station,ARB,,,,-119.14654340005771,35.38342157404659
4258,484,STOCKDALE CHEVRON,29727 STOCKDALE HWY,BAKERSFIELD,CALIFORNIA,93314,Service Station or Gas Station,ARB,,,,-119.33271611455687,35.354776647924155
4259,6446,SAN LUIS CHEVRON,2000 MONTEREY ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.64985868932688,35.29034189336392
4260,8394,Mission Chevron,328 MARSH ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.6683957032989,35.27546909782077
4261,6444,JOHN'S VALERO,157 HIGUERA ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.67036023993295,35.26898086967154
4262,485,DJ FOOD MART,31110 7TH STANDARD RD,BAKERSFIELD,CALIFORNIA,93314,Service Station or Gas Station,ARB,,,,-119.25183008339147,35.44171491321279
4263,7950,STOCKDALE WEST,13004 STOCKDALE HWY,BAKERSFIELD,CALIFORNIA,93314,Service Station or Gas Station,ARB,,,,-119.14627281204051,35.35442929827366
4264,8960,EDNA VALLEY SHELL,4021 BROAD ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.64287779547372,35.247948857553936
4265,6447,BROAD ST 76 EXPRESS,2015 BROAD ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.65839794640793,35.2720041673587
4266,6448,CONSERV FUEL SITE #6112,2211 BROAD ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.65707640435245,35.270288113405826
4267,6443,SAN LUIS DOWNTOWN SHELL,1101 MONTEREY ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.65992890459509,35.28260984796629
4268,6450,CHEVRON STATION# 98169,3180 BROAD ST,SAN LUIS OBISPO,CALIFORNIA,93401,Service Station or Gas Station,ARB,,,,-120.64861380728118,35.2594089129911
4269,6455,CHEVRON STATION# 91717,151 N SANTA ROSA ST,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,,-120.66878079929431,35.29495534801113
4270,3670,VALLEY LIQUOR & DELI,2199 10TH ST,LOS OSOS,CALIFORNIA,93402,Service Station or Gas Station,ARB,,,,-120.8323180131656,35.31124298307736
4271,6459,SHELL #68614,3 SANTA ROSA ST,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,,-120.66809534142672,35.29393681723048
4272,6458,SHELL #68613,296 SANTA ROSA ST,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,YES,-120.66500768915343,35.288418669785955
4273,6456,MADONNA SHELL,204 MADONNA RD,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,,-120.67650695503183,35.26415741163536
4274,6454,BNB CHEVRON,12424 LOS OSOS VALLEY RD,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,,-120.68306094790428,35.24698295240153
4275,6449,CONSERV FUEL SITE #6103,254 SANTA ROSA ST,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,YES,-120.66530660401638,35.28874643939688
4276,6453,LAGUNA SHELL,11590 LOS OSOS VALLEY ROAD,SAN LUIS OBISPO,CALIFORNIA,93405,Service Station or Gas Station,ARB,,,,-120.69155505452194,35.25774855315341
